total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
0.0,18.0,1.0,0.0,0.0,0.0
0.0,40.0,1.0,0.0,0.0,0.0
0.0,47.0,1.0,0.0,0.0,0.0
0.0,19.0,1.0,0.0,0.0,0.0
0.0,64.0,1.0,0.0,0.0,0.0
3.0,18.0,1.0,3.0,3.0,0.0
8.0,403.0,1.0,8.0,0.0,2.0
0.0,84.0,1.0,0.0,0.0,0.0
0.0,37.0,1.0,0.0,0.0,0.0
0.0,114.0,1.0,0.0,0.0,0.0
11.0,139.0,1.0,11.0,7.0,1.0
0.0,141.0,1.0,0.0,0.0,0.0
10.0,262.0,1.0,10.0,2.0,2.0
7.0,157.0,1.0,7.0,7.0,0.0
13.0,77.0,1.0,13.0,0.0,0.0
3.0,203.0,1.0,3.0,3.0,0.0
4.0,25.0,1.0,4.0,0.0,1.0
0.0,42.0,1.0,0.0,0.0,0.0
0.0,94.0,1.0,0.0,0.0,0.0
2.0,46.0,1.0,2.0,2.0,0.0
0.0,44.0,1.0,0.0,0.0,0.0
0.0,82.0,1.0,0.0,0.0,0.0
0.0,537.0,1.0,0.0,0.0,0.0
0.0,70.0,1.0,0.0,0.0,0.0
4.0,95.0,1.0,4.0,0.0,1.0
20.0,104.0,1.0,20.0,0.0,5.0
5.0,54.0,1.0,5.0,1.0,1.0
2.0,154.0,1.0,2.0,2.0,0.0
9.0,294.0,1.0,9.0,5.0,1.0
0.0,52.0,1.0,0.0,0.0,0.0
0.0,56.0,1.0,0.0,0.0,0.0
0.0,171.0,1.0,0.0,0.0,0.0
0.0,32.0,1.0,0.0,0.0,0.0
0.0,61.0,1.0,0.0,0.0,0.0
0.0,100.0,1.0,0.0,0.0,0.0
1.0,145.0,1.0,1.0,1.0,0.0
9.0,131.0,1.0,9.0,5.0,1.0
0.0,326.0,1.0,7.0,7.0,0.0
20.0,432.0,1.0,20.0,0.0,5.0
0.0,37.0,1.0,0.0,0.0,0.0
28.0,568.0,1.0,28.0,0.0,7.0
0.0,98.0,1.0,0.0,0.0,0.0
0.0,149.0,1.0,0.0,0.0,0.0
1.0,45.0,1.0,1.0,1.0,0.0
0.0,45.0,1.0,0.0,0.0,0.0
0.0,102.0,1.0,0.0,0.0,0.0
4.0,370.0,1.0,4.0,0.0,1.0
51.0,175.0,1.0,51.0,7.0,11.0
2.0,136.0,1.0,2.0,2.0,0.0
0.0,26.0,1.0,0.0,0.0,0.0
16.0,281.0,1.0,16.0,0.0,4.0
3.0,785.0,1.0,3.0,3.0,0.0
0.0,44.0,1.0,0.0,0.0,0.0
2.0,393.0,1.0,2.0,2.0,0.0
6.0,72.0,1.0,6.0,2.0,1.0
3.0,150.0,1.0,3.0,3.0,0.0
3.0,87.0,1.0,3.0,3.0,0.0
3.0,124.0,1.0,3.0,3.0,0.0
0.0,739.0,1.0,0.0,0.0,0.0
0.0,103.0,1.0,0.0,0.0,0.0
0.0,98.0,1.0,0.0,0.0,0.0
1.0,111.0,1.0,1.0,1.0,0.0
0.0,92.0,1.0,0.0,0.0,0.0
0.0,118.0,1.0,0.0,0.0,0.0
0.0,46.0,1.0,0.0,0.0,0.0
0.0,63.0,1.0,0.0,0.0,0.0
0.0,216.0,1.0,0.0,0.0,0.0
3.0,103.0,1.0,3.0,3.0,0.0
3.0,198.0,1.0,3.0,3.0,0.0
11.0,166.0,1.0,11.0,7.0,1.0
0.0,72.0,1.0,0.0,0.0,0.0
0.0,75.0,1.0,0.0,0.0,0.0
3.0,105.0,1.0,3.0,3.0,0.0
0.0,830.0,1.0,0.0,0.0,0.0
0.0,13.0,1.0,0.0,0.0,0.0
0.0,126.0,1.0,0.0,0.0,0.0
3.0,196.0,1.0,3.0,3.0,0.0
3.0,101.0,1.0,3.0,3.0,0.0
2.0,290.0,1.0,2.0,2.0,0.0
0.0,182.0,1.0,0.0,0.0,0.0
6.0,172.0,1.0,6.0,2.0,1.0
11.0,108.0,1.0,11.0,7.0,1.0
5.0,134.0,1.0,5.0,5.0,0.0
0.0,126.0,1.0,0.0,0.0,0.0
2.0,331.0,1.0,2.0,2.0,0.0
4.0,514.0,1.0,4.0,0.0,1.0
0.0,104.0,1.0,0.0,0.0,0.0
0.0,5.0,1.0,0.0,0.0,0.0
0.0,23.0,1.0,0.0,0.0,0.0
0.0,77.0,1.0,0.0,0.0,0.0
16.0,338.0,1.0,16.0,0.0,4.0
0.0,609.0,1.0,0.0,0.0,0.0
0.0,84.0,1.0,0.0,0.0,0.0
16.0,619.0,1.0,16.0,0.0,4.0
0.0,100.0,1.0,0.0,0.0,0.0
0.0,185.0,1.0,0.0,0.0,0.0
16.0,351.0,1.0,16.0,0.0,2.0
4.0,334.0,1.0,4.0,4.0,0.0
0.0,44.0,1.0,0.0,0.0,0.0
0.0,132.0,1.0,0.0,0.0,0.0
0.0,832.0,1.0,0.0,0.0,0.0
1.0,45.0,1.0,1.0,1.0,0.0
