index,total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
14-04-27,0.0,89.0,1.0,0.0,0.0,0.0
14-04-31,0.0,197.0,1.0,0.0,0.0,0.0
14-04-43,0.0,188.0,1.0,0.0,0.0,0.0
14-04-58,4.0,60.0,1.0,4.0,0.0,1.0
14-05-02,10.0,332.0,1.0,10.0,0.0,0.0
14-05-18,4.0,288.0,1.0,4.0,0.0,1.0
14-05-34,0.0,98.0,1.0,0.0,0.0,0.0
14-05-38,5.0,177.0,1.0,5.0,5.0,0.0
14-05-47,4.0,210.0,1.0,4.0,0.0,1.0
14-05-59,9.0,59.0,1.0,9.0,5.0,1.0
14-06-03,0.0,94.0,1.0,0.0,0.0,0.0
14-06-07,0.0,207.0,1.0,0.0,0.0,0.0
14-06-18,0.0,59.0,1.0,0.0,0.0,0.0
14-06-22,10.0,372.0,1.0,10.0,0.0,0.0
14-06-46,0.0,186.0,1.0,0.0,0.0,0.0
14-06-56,0.0,62.0,1.0,0.0,0.0,0.0
14-07-00,20.0,197.0,1.0,20.0,0.0,5.0
14-07-09,1.0,68.0,1.0,1.0,1.0,0.0
14-07-13,0.0,107.0,1.0,0.0,0.0,0.0
14-07-18,0.0,314.0,1.0,0.0,0.0,0.0
14-07-45,0.0,30.0,1.0,0.0,0.0,0.0
14-07-46,0.0,59.0,1.0,0.0,0.0,0.0
14-07-49,0.0,168.0,1.0,0.0,0.0,0.0
14-08-02,4.0,158.0,1.0,4.0,4.0,0.0
14-08-17,0.0,189.0,1.0,0.0,0.0,0.0
14-08-29,0.0,43.0,1.0,0.0,0.0,0.0
14-08-31,0.0,247.0,1.0,0.0,0.0,0.0
14-08-45,2.0,378.0,1.0,2.0,2.0,0.0
14-09-19,5.0,196.0,1.0,5.0,5.0,0.0
14-09-29,3.0,195.0,1.0,3.0,3.0,0.0
14-09-43,3.0,170.0,1.0,3.0,3.0,0.0
14-09-52,10.0,69.0,1.0,10.0,0.0,0.0
14-09-56,0.0,229.0,1.0,0.0,0.0,0.0
14-10-09,0.0,85.0,1.0,0.0,0.0,0.0
14-10-13,0.0,207.0,1.0,0.0,0.0,0.0
