index,total_reward,total_timesteps,max_depth,max_score,max_gold,max_xp
17-09-45,2.0,1927.0,1.0,2.0,2.0,0.0
17-09-55,0.0,2395.0,1.0,2.0,2.0,0.0
17-10-03,0.0,2322.0,1.0,0.0,0.0,0.0
17-10-16,0.0,3068.0,1.0,0.0,0.0,0.0
17-10-33,2.0,636.0,1.0,2.0,2.0,0.0
17-10-40,0.0,2432.0,1.0,0.0,0.0,0.0
17-10-52,0.0,2223.0,1.0,0.0,0.0,0.0
17-11-08,0.0,2119.0,1.0,0.0,0.0,0.0
17-11-21,1.0,1522.0,1.0,1.0,1.0,0.0
17-11-30,0.0,2257.0,1.0,0.0,0.0,0.0
17-11-45,0.0,1760.0,1.0,0.0,0.0,0.0
17-11-55,2.0,2111.0,1.0,2.0,2.0,0.0
17-12-08,0.0,815.0,1.0,0.0,0.0,0.0
17-12-22,0.0,2668.0,1.0,0.0,0.0,0.0
17-12-36,0.0,1493.0,1.0,0.0,0.0,0.0
17-12-46,0.0,2262.0,1.0,0.0,0.0,0.0
17-13-00,0.0,752.0,1.0,0.0,0.0,0.0
17-13-06,0.0,1231.0,1.0,0.0,0.0,0.0
17-13-14,0.0,2175.0,1.0,0.0,0.0,0.0
17-13-27,0.0,111.0,1.0,0.0,0.0,0.0
17-13-30,1.0,2131.0,1.0,1.0,1.0,0.0
17-13-47,0.0,22.0,1.0,0.0,0.0,0.0
17-13-49,0.0,943.0,1.0,0.0,0.0,0.0
17-13-58,0.0,79.0,1.0,0.0,0.0,0.0
17-13-59,0.0,2312.0,1.0,0.0,0.0,0.0
17-14-16,0.0,2233.0,1.0,0.0,0.0,0.0
17-14-26,0.0,717.0,1.0,0.0,0.0,0.0
17-14-35,0.0,991.0,1.0,0.0,0.0,0.0
17-14-44,0.0,2390.0,1.0,0.0,0.0,0.0
17-14-58,1.0,2112.0,1.0,1.0,1.0,0.0
17-15-20,0.0,298.0,1.0,0.0,0.0,0.0
17-15-21,0.0,82.0,1.0,0.0,0.0,0.0
17-15-22,5.0,1804.0,1.0,5.0,5.0,0.0
17-15-34,0.0,605.0,1.0,0.0,0.0,0.0
17-15-41,0.0,1718.0,1.0,0.0,0.0,0.0
17-16-10,0.0,2245.0,1.0,0.0,0.0,0.0
17-16-29,1.0,776.0,1.0,1.0,1.0,0.0
17-16-35,0.0,2509.0,1.0,0.0,0.0,0.0
17-16-48,1.0,336.0,1.0,1.0,1.0,0.0
17-16-53,0.0,368.0,1.0,0.0,0.0,0.0
17-16-56,0.0,1134.0,1.0,0.0,0.0,0.0
17-17-06,0.0,1009.0,1.0,0.0,0.0,0.0
17-17-17,0.0,832.0,1.0,0.0,0.0,0.0
17-17-27,2.0,2560.0,1.0,2.0,2.0,0.0
17-17-38,2.0,2472.0,1.0,2.0,2.0,0.0
17-17-48,0.0,2242.0,1.0,0.0,0.0,0.0
17-17-57,0.0,199.0,1.0,0.0,0.0,0.0
17-17-59,0.0,3184.0,1.0,0.0,0.0,0.0
17-18-18,0.0,1637.0,1.0,0.0,0.0,0.0
17-18-30,0.0,47.0,1.0,0.0,0.0,0.0
17-18-31,0.0,2096.0,1.0,0.0,0.0,0.0
17-18-41,4.0,2294.0,1.0,4.0,4.0,0.0
17-18-53,0.0,2136.0,1.0,0.0,0.0,0.0
17-19-00,0.0,545.0,1.0,0.0,0.0,0.0
17-19-09,2.0,1119.0,1.0,2.0,2.0,0.0
17-19-15,3.0,3250.0,1.0,3.0,3.0,0.0
17-19-37,0.0,685.0,1.0,0.0,0.0,0.0
17-19-43,0.0,2411.0,1.0,0.0,0.0,0.0
17-19-57,0.0,2426.0,1.0,0.0,0.0,0.0
17-20-06,0.0,82.0,1.0,0.0,0.0,0.0
17-20-07,0.0,819.0,1.0,0.0,0.0,0.0
17-20-12,1.0,2103.0,1.0,1.0,1.0,0.0
17-20-25,0.0,1714.0,1.0,0.0,0.0,0.0
17-20-36,0.0,531.0,1.0,0.0,0.0,0.0
17-20-42,0.0,1764.0,1.0,0.0,0.0,0.0
17-20-50,0.0,501.0,1.0,0.0,0.0,0.0
17-21-01,2.0,1362.0,1.0,2.0,2.0,0.0
17-21-14,0.0,1678.0,1.0,0.0,0.0,0.0
17-21-40,0.0,114.0,1.0,0.0,0.0,0.0
17-21-41,4.0,1260.0,1.0,4.0,4.0,0.0
17-21-51,0.0,1838.0,1.0,0.0,0.0,0.0
17-22-14,1.0,68.0,1.0,1.0,1.0,0.0
17-22-16,0.0,756.0,1.0,0.0,0.0,0.0
17-22-28,0.0,2457.0,1.0,0.0,0.0,0.0
17-22-38,1.0,1405.0,1.0,1.0,1.0,0.0
17-22-45,0.0,575.0,1.0,0.0,0.0,0.0
17-22-49,2.0,1928.0,1.0,2.0,2.0,0.0
